flow_name,search_string_to_use,openlca_ui_steps,unit_conversion_note,recommendation
polyethylene film,LDPE film production,"Process view → exchange 'polyethylene film' → Choose flow → search 'LDPE' or 'polyethylene film' → Select packaging-grade LDPE film process","grams to kg: divide by 1000","Prefer ELCD film process; paste process code into brightway_premap_results.csv"
polyethylene terephthalate,PET granulate production,"Process view → exchange 'polyethylene terephthalate' → Choose flow → search 'PET' or 'polyethylene terephthalate' → Select PET granulate or PET bottle production","grams to kg: divide by 1000","If specific PET bottle process exists, use it; else use PET granulate"
clean water,Water, treated and distributed,"Process view → exchange 'clean water' → Choose flow → search 'water, treated' or 'water distribution' → select municipal treated water process","L m3: use per m3 processes and scale to L (1 m3 = 1000 L)","Use treated water + distribution; document proxy if Nigeria not available"
electricity,Electricity, grid mix, medium voltage,"Process view → exchange 'electricity' → Choose flow → search 'electricity, medium voltage' or 'grid mix' → select nearest regional grid","kWh unit — no conversion","Use West Africa/Nigeria proxy; run sensitivity with alternate grid mixes"
truck transport,Transport, freight, road, lorry 16-32t,"Process view → exchange 'truck transport' → Choose flow → search 'transport, freight, lorry' → pick suitable weight class process","Convert mass (kg) to t: kg/1000 then multiply by km to get tkm","If only per-km process exists, compute tkm externally and enter tkm amount"
disposal landfill,Disposal, landfill, municipal waste,"Process view → exchange 'disposal landfill' → Choose flow → search 'disposal, landfill' → pick municipal landfill process","mass in kg","Prefer uncontrolled/municipal landfill for Lagos context; document choice"
open burning,Open burning of waste,"Process view → exchange 'open burn' → Choose flow → search 'open burning' or 'open burning of waste' → select uncontrolled open burn process","mass in kg","High uncertainty; document and vary in sensitivity"
recycling_pe,Recycling, polyethylene film recycling,"Process view → exchange 'sachet recycled' → Choose flow → search 'recycling polyethylene' or 'recycling film' → select appropriate recycling process","mass in kg","If closed-loop recycling process not available, model avoided burden conservatively"
recycling_pet,Recycling, PET beverage bottles,"Process view → exchange 'pet recycled' → Choose flow → search 'recycling PET' or 'recycling beverage bottles' → select PET bottle recycling","mass in kg","Use beverage-bottle recycling process and recovery rate"
printing inks,Printing inks, packaging,"Process view → exchange 'printing inks' → Choose flow → search 'printing inks, packaging' → select inks process","grams to kg: divide by 1000","Include if labels/printing significant; otherwise omit"
blow moulding,Blow moulding PET bottle,"Process view → exchange 'blow moulding' → Choose flow → search 'blow moulding' or 'bottle forming' → select blow moulding process","kWh per bottle — convert to per FU","Include energy per bottle operation; scale to per-L FU"
water treatment kWh,Water treatment, conventional,"Process view → exchange 'water_treatment_kWh' → Choose flow → search 'water treatment, conventional' → select per m3 treatment process","if process per m3, divide by 1000 to per L","Include chemical and energetic treatment processes as available"
